Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
NE (22.5–67.5°),FIDAS 200,0.1037,0.0,865
NE (22.5–67.5°),FIDAS 200,0.1198,0.0,865
NE (22.5–67.5°),FIDAS 200,0.1287,0.0,865
NE (22.5–67.5°),FIDAS 200,0.1383,0.0,865
NE (22.5–67.5°),FIDAS 200,0.1486,0.0,865
NE (22.5–67.5°),FIDAS 200,0.1597,6.267865945203052,865
NE (22.5–67.5°),FIDAS 200,0.1717,212.49792942857115,865
NE (22.5–67.5°),FIDAS 200,0.1845,792.7757544843669,865
NE (22.5–67.5°),FIDAS 200,0.1982,1056.316545839166,865
NE (22.5–67.5°),FIDAS 200,0.213,906.7958973030408,865
NE (22.5–67.5°),FIDAS 200,0.2289,819.3194664005348,865
NE (22.5–67.5°),FIDAS 200,0.246,816.1115956814537,865
NE (22.5–67.5°),FIDAS 200,0.2643,845.7969829352868,865
NE (22.5–67.5°),FIDAS 200,0.2841,646.3909280882795,865
NE (22.5–67.5°),FIDAS 200,0.3053,293.3817092466298,865
NE (22.5–67.5°),FIDAS 200,0.328,123.67678488066915,865
NE (22.5–67.5°),FIDAS 200,0.3525,63.26738021164961,865
NE (22.5–67.5°),FIDAS 200,0.3788,32.95746374678166,865
NE (22.5–67.5°),FIDAS 200,0.4071,23.09098844503926,865
NE (22.5–67.5°),FIDAS 200,0.4374,18.399276224878793,865
NE (22.5–67.5°),FIDAS 200,0.4701,17.43890437597911,865
NE (22.5–67.5°),FIDAS 200,0.5051,14.571752153078451,865
NE (22.5–67.5°),FIDAS 200,0.5428,8.939762014084685,865
NE (22.5–67.5°),FIDAS 200,0.5833,6.28857783722704,865
NE (22.5–67.5°),FIDAS 200,0.6268,4.635280897254714,865
NE (22.5–67.5°),FIDAS 200,0.6736,4.075435418866982,865
NE (22.5–67.5°),FIDAS 200,0.7239,4.084875880300437,865
NE (22.5–67.5°),FIDAS 200,0.7779,3.5487911170213096,865
NE (22.5–67.5°),FIDAS 200,0.8359,3.4896106710376933,865
NE (22.5–67.5°),FIDAS 200,0.8983,3.157859914521873,865
NE (22.5–67.5°),FIDAS 200,0.9653,3.049329081547273,865
NE (22.5–67.5°),FIDAS 200,1.0373,2.739499490904376,865
NE (22.5–67.5°),FIDAS 200,1.1147,2.6197443856603426,865
NE (22.5–67.5°),FIDAS 200,1.1979,2.361126246129375,865
NE (22.5–67.5°),FIDAS 200,1.2872,2.310757916541223,865
NE (22.5–67.5°),FIDAS 200,1.3833,2.09957754127377,865
NE (22.5–67.5°),FIDAS 200,1.4865,1.8511534480462815,865
NE (22.5–67.5°),FIDAS 200,1.5974,1.6598169258625997,865
NE (22.5–67.5°),FIDAS 200,1.7165,1.3897638244522437,865
NE (22.5–67.5°),FIDAS 200,1.8446,1.1940034790600131,865
NE (22.5–67.5°),FIDAS 200,1.9822,1.0061111594587824,865
NE (22.5–67.5°),FIDAS 200,2.1301,0.897613384365585,865
NE (22.5–67.5°),FIDAS 200,2.2891,0.7893997873036552,865
NE (22.5–67.5°),FIDAS 200,2.4598,0.7271768400226591,865
NE (22.5–67.5°),FIDAS 200,2.6434,0.6620883329793102,865
NE (22.5–67.5°),FIDAS 200,2.8406,0.6027177402506952,865
NE (22.5–67.5°),FIDAS 200,3.0525,0.5746454801048521,865
NE (22.5–67.5°),FIDAS 200,3.2802,0.4965146655559467,865
NE (22.5–67.5°),FIDAS 200,3.525,0.4540544068895076,865
NE (22.5–67.5°),FIDAS 200,3.788,0.402246706992526,865
NE (22.5–67.5°),FIDAS 200,4.0706,0.3416567137454826,865
NE (22.5–67.5°),FIDAS 200,4.3743,0.34025721126241665,865
NE (22.5–67.5°),FIDAS 200,4.7006,0.28398577178926143,865
NE (22.5–67.5°),FIDAS 200,5.0513,0.26634459820700085,865
NE (22.5–67.5°),FIDAS 200,5.4282,0.2272977450989249,865
NE (22.5–67.5°),FIDAS 200,5.8332,0.18810869902823563,865
NE (22.5–67.5°),FIDAS 200,6.2684,0.17264963112688164,865
NE (22.5–67.5°),FIDAS 200,6.7361,0.146334080209605,865
NE (22.5–67.5°),FIDAS 200,7.2386,0.13403612541429738,865
NE (22.5–67.5°),FIDAS 200,7.7787,0.12543602130961692,865
NE (22.5–67.5°),FIDAS 200,8.359,0.10900838691132146,865
NE (22.5–67.5°),FIDAS 200,8.9827,0.08769434952659322,865
NE (22.5–67.5°),FIDAS 200,9.6529,0.08319067221035098,865
NE (22.5–67.5°),FIDAS 200,10.373,0.07657802200824675,865
NE (22.5–67.5°),FIDAS 200,11.1469,0.061131863348631854,865
NE (22.5–67.5°),FIDAS 200,11.9786,0.05345510184511215,865
NE (22.5–67.5°),FIDAS 200,12.8723,0.04920118355404677,865
NE (22.5–67.5°),FIDAS 200,13.8327,0.04335250929221481,865
NE (22.5–67.5°),FIDAS 200,14.8647,0.047242200449889804,865
NE (22.5–67.5°),FIDAS 200,15.9737,0.03465742145992199,865
NE (22.5–67.5°),FIDAS 200,17.1655,0.028428690273872157,865
NE (22.5–67.5°),FIDAS 200,18.4462,0.02447694901755297,865
NE (22.5–67.5°),FIDAS 200,19.8224,0.026080455831144333,865
NE (22.5–67.5°),FIDAS 200,21.3013,0.028066212071306332,865
NE (22.5–67.5°),FIDAS 200,22.8905,0.030073553477883867,865
NE (22.5–67.5°),FIDAS 200,24.5984,0.03258598820015003,865
NE (22.5–67.5°),FIDAS 200,26.4336,0.009441631073503027,865
NE (22.5–67.5°),UCASS 1,0.7765307463326871,1.3165433957670465,15022
NE (22.5–67.5°),UCASS 1,1.7052272575818157,0.17580102424216323,15022
NE (22.5–67.5°),UCASS 1,2.4781242906682466,0.06487505739602194,15022
NE (22.5–67.5°),UCASS 1,3.1246599815019875,0.033900779608641414,15022
NE (22.5–67.5°),UCASS 1,3.668105778191245,0.01867443435162642,15022
NE (22.5–67.5°),UCASS 1,4.161249812255929,0.01752495199775293,15022
NE (22.5–67.5°),UCASS 1,4.678589531044587,0.012704156774705617,15022
NE (22.5–67.5°),UCASS 1,5.145298825141257,0.006354064751831996,15022
NE (22.5–67.5°),UCASS 1,5.604863959098383,0.006173405872713285,15022
NE (22.5–67.5°),UCASS 1,6.061188002363893,0.0033082347881983184,15022
NE (22.5–67.5°),UCASS 1,6.520398760812102,0.0036078625296003,15022
NE (22.5–67.5°),UCASS 1,6.971986804347811,0.0009678260372757025,15022
NE (22.5–67.5°),UCASS 1,7.420956811624765,0.0,15022
NE (22.5–67.5°),UCASS 1,7.891793205602894,0.0005690655235760604,15022
NE (22.5–67.5°),UCASS 1,10.85080642164443,0.002655639110021616,15022
NE (22.5–67.5°),UCASS 2,4.069004792329446,0.25519795776327014,15022
NE (22.5–67.5°),UCASS 2,4.496398558846847,0.2611087729050694,15022
NE (22.5–67.5°),UCASS 2,5.417970099585268,0.12871770692799273,15022
NE (22.5–67.5°),UCASS 2,6.685506712284417,0.08296959627379029,15022
NE (22.5–67.5°),UCASS 2,8.268978171455045,0.04452606888820945,15022
NE (22.5–67.5°),UCASS 2,10.772854774849607,0.03910925549050846,15022
NE (22.5–67.5°),UCASS 2,13.835259303677686,0.013124624457641952,15022
NE (22.5–67.5°),UCASS 2,17.414821273846023,0.009378948807703576,15022
NE (22.5–67.5°),UCASS 2,23.11955881932006,0.00886826655033328,15022
NE (22.5–67.5°),UCASS 2,28.16814512885078,0.00737871023594713,15022
NE (22.5–67.5°),UCASS 2,30.822173836379548,0.003001339447945368,15022
NE (22.5–67.5°),UCASS 2,33.4058677480469,0.001959511809389218,15022
NE (22.5–67.5°),UCASS 2,35.530071770262445,0.0014111740632232303,15022
NE (22.5–67.5°),UCASS 2,40.3981039159018,0.0003129232567408113,15022
NE (22.5–67.5°),UCASS 2,48.99905305207439,0.0034421558241489246,15022
NE (22.5–67.5°),UCASS 6,0.6280127387243033,1.164377739300645,15022
NE (22.5–67.5°),UCASS 6,0.7557777451076474,1.525215565598702,15022
NE (22.5–67.5°),UCASS 6,1.1299557513460428,0.4450868708277471,15022
NE (22.5–67.5°),UCASS 6,1.7951044537853502,0.5351470933793121,15022
NE (22.5–67.5°),UCASS 6,2.23678340480253,0.6054364049959542,15022
NE (22.5–67.5°),UCASS 6,2.579767431378263,0.24553622440214068,15022
NE (22.5–67.5°),UCASS 6,3.316323265304515,0.14358054893778738,15022
NE (22.5–67.5°),UCASS 6,4.263097465458654,0.0996204390572845,15022
NE (22.5–67.5°),UCASS 6,5.296527164095356,0.05413044254823662,15022
NE (22.5–67.5°),UCASS 6,6.755116579304905,0.030739410797328722,15022
NE (22.5–67.5°),UCASS 6,8.618816624107977,0.019802621062704043,15022
NE (22.5–67.5°),UCASS 6,11.067971810589329,0.008568115915910642,15022
NE (22.5–67.5°),UCASS 6,14.265342617687105,0.003982128849755569,15022
NE (22.5–67.5°),UCASS 6,18.743596239782804,0.00220773341650877,15022
NE (22.5–67.5°),UCASS 6,25.325038993059813,0.0004014060757288673,15022
NE (22.5–67.5°),TSI OPS 3330,0.3349626844888845,100.51198855712207,1982
NE (22.5–67.5°),TSI OPS 3330,0.417025179095939,15.829773139498993,1982
NE (22.5–67.5°),TSI OPS 3330,0.5188785985179963,3.95964785606102,1982
NE (22.5–67.5°),TSI OPS 3330,0.6461106716345119,1.4330578802018479,1982
NE (22.5–67.5°),TSI OPS 3330,0.8041996020889342,0.8700239965245118,1982
NE (22.5–67.5°),TSI OPS 3330,1.0009740256370292,1.2365305040699675,1982
NE (22.5–67.5°),TSI OPS 3330,1.246493882857032,0.7793065422684587,1982
NE (22.5–67.5°),TSI OPS 3330,1.5521636511656882,1.0056432416242895,1982
NE (22.5–67.5°),TSI OPS 3330,1.9324057544936053,0.8541366189456183,1982
NE (22.5–67.5°),TSI OPS 3330,2.4060049875260026,0.5877246683154783,1982
NE (22.5–67.5°),TSI OPS 3330,2.9959898197423835,0.3776470661619793,1982
NE (22.5–67.5°),TSI OPS 3330,3.73008927507104,0.2778482664259226,1982
NE (22.5–67.5°),TSI OPS 3330,4.644080533324115,0.2078583946904792,1982
NE (22.5–67.5°),TSI OPS 3330,5.781788823538958,0.150582584981866,1982
NE (22.5–67.5°),TSI OPS 3330,7.198224225460054,0.08900435427182919,1982
NE (22.5–67.5°),TSI OPS 3330,8.962142600963231,0.08756119541639854,1982
